query,ko,name
4-Hydroxy-3-methoxycinnamaldehyde,cpd:C02666,Coniferyl aldehyde; Coniferaldehyde; 4-Hydroxy-3-methoxycinnamaldehyde; Ferulaldehyde
Erucifoline N-oxide,NA,NA
Erythynone,NA,NA
"Estradiol-3,4-quinone",NA,NA
"Estrone-2,3-quinone",NA,NA
"Ethanone, 1-[2,4,6-trihydroxy-3-(3-methyl-2-butenyl)phenyl]-",NA,NA
Ethyl 2-methyl-4-oxo-6-pentylcyclohex-2-ene-1-carboxylate,NA,NA
ethyl 3-(2-methoxycarbonylcyclopentyl)-3-methyl-oxirane-2-carboxylate,NA,NA
"Ethyl 6-ethyl-2,4-dihydroxy-3-methylbenzoate",NA,NA
Ethyldimethyl(3-sulfopropyl)azanium,NA,NA
Eugenone,NA,NA
Euparin,NA,NA
Euparin methyl ether,NA,NA
F13459,NA,NA
Floridinine,NA,NA
"formyl 2Z,4E,6Z-decatrienoate",NA,NA
Fuc(a1-2)[Gal(a1-3)]Gal(b1-4)Glc,NA,NA
fumicycline A,NA,NA
gamma-Glu-leu,NA,NA
gamma-Glutamylglutamate,NA,NA
gamma-Glutamylglutamine,NA,NA
Nivalenol,cpd:C06080,Nivalenol
gamma-Glutamylmethionine,NA,NA
Gangetin,NA,NA
Garcimangosone C,NA,NA
Gibberellin A88,NA,NA
Glc(b1-4)Glc(b1-3)Glc(b1-4)Glc(b1-4)Glc(b1-3)Glc,NA,NA
GlcA(b1-4)a-Glc,NA,NA
Gln-Glu,NA,NA
Gln-Val,NA,NA
Glucosylgalactosylhydroxylysine,NA,NA
glutamylvaline,NA,NA
Glutamylvaline,NA,NA
Glutaric anhydride,NA,NA
Glu-Thr,NA,NA
Glu-Tyr,NA,NA
glyceryl sulfoquinovoside,NA,NA
Gonioheptolide A,NA,NA
Gtri-02,NA,NA
Guanosine dialdehyde,NA,NA
Haematommic Acid,NA,NA
Haematommic acid,NA,NA
Picein,cpd:C10720,Picein
hamilcone,NA,NA
Helenalin methacrylate,NA,NA
Hep-Hep,NA,NA
"Heteropeucenin, methyl ether",NA,NA
Hexaketide pyrone,NA,NA
Gallocatechin,cpd:C12127,(+)-Gallocatechin; Gallocatechol
H-Lys-Thr-OH,NA,NA
Hydroferulic acid,NA,NA
Ieodomycin D,NA,NA
N-acetylmuramic acid 6-phosphate,cpd:C16698,N-Acetylmuramic acid 6-phosphate; N-Acetylmuramate 6-phosphate; MurNAc 6-phosphate
inosinum,NA,NA
Isobisvertinol,NA,NA
Isoleucylglutamine,NA,NA
1-O-trans-Cinnamoyl-beta-D-glucopyranose,cpd:C04164,trans-Cinnamoyl beta-D-glucoside; 1-O-trans-Cinnamoyl-beta-D-glucopyranose
Isoleucyl-hydroxyproline,NA,NA
Sulfometuron,cpd:C18895,Sulfometuron
Isomaltotetraose,NA,NA
Isophysalin G,NA,NA
Isopropylidene-succinic acid,NA,NA
Isorhapontigenin,NA,NA
Kahweol,NA,NA
Kioukasin A,NA,NA
p-Coumaryl alcohol 4-O-glucoside,cpd:C05855,4-Hydroxycinnamyl alcohol 4-D-glucoside; p-Coumaryl alcohol 4-O-glucoside
Kotanin,NA,NA
L-2-amino-8-oxodecanoic acid,NA,NA
Lachnone C,NA,NA
l-Alanyl-d-alanyl-l-alanine,NA,NA
L-Alanyl-L-proline,NA,NA
Laminaripentaose,NA,NA
Laurenoniolide,NA,NA
Toxol,cpd:C08979,Toxol
L-Ergothioneine,NA,NA
Levulinic acid,NA,NA
Lignicol,NA,NA
"Megastigma-4,6(E),8(Z)-triene",NA,NA
methadone-d9,NA,NA
Methionine sulfoxide,NA,NA
methyl (E)-3-(5-methyl-6-oxopyran-2-yl)but-2-enoate,NA,NA
"methyl (E)-3-(7-methoxy-1,3-benzodioxol-5-yl)prop-2-enoate",NA,NA
"methyl 10-(acetoxymethyl)-3-methylene-2-oxo-3a,4,5,8,9,11a-hexahydrocyclodeca[b]furan-6-carboxylate",NA,NA
"methyl 2-(1,3,5-trihydroxy-4a-methyl-8-oxo-decahydronaphthalen-2-yl)prop-2-enoate",NA,NA
"Methyl 2,4-dihydroxy-3,6-dimethylbenzoate",NA,NA
"Methyl 2,4-dihydroxy-6-methylbenzoate",NA,NA
Methyl 2-butyl-3-oxocyclopentanecarboxylate,NA,NA
"Methyl 2-methyl-4,6-dioxocyclohexanecarboxylate",NA,NA
"Methyl 3,4,5-trimethoxybenzoate",NA,NA
"methyl 3,5,7-trimethoxy-6-methyl-1,3-dihydroisobenzofuran-4-carboxylate",NA,NA
Methyl 3-hydroxybutyrate,NA,NA
Methyl 3-Methoxy-2-naphthoate,NA,NA
"Methyl 4-acetyloxy-3,5-dimethoxybenzoate",NA,NA
Methyl 4-hydroxy-3-methoxy-cinnamate,NA,NA
Methyl 4-hydroxyphenylacetate,NA,NA
methyl 4-methyl-2-oxo-2H-pyran-6-carboxylate,NA,NA
"Methyl 5-(but-3-en-1-yl)amino-1,3,4-oxadiazole-2-carboxylate",NA,NA
"methyl 5,7-dimethoxy-6-methyl-1-oxo-3H-2-benzofuran-4-carboxylate",NA,NA
"methyl 5-hydroxy-2-methylene-3-oxo-4a,5,8,8a-tetrahydro-1,4-benzodioxine-7-carboxylate",NA,NA
Methyl 6-O-galloyl-b-D-glucopyranoside,NA,NA
Methyl ferulate,NA,NA
Methyl Haematommate,NA,NA
Methyl N-{[(2R)-1-(methoxyacetyl)-4-(3-pyridinylcarbonyl)-2-piperazinyl]carbonyl}-O-methyl-L-tyrosinate,NA,NA
Methylbetain,NA,NA
Myrtucommulone B,NA,NA
"N-({(2R,4S,5R)-5-[3-(2-Methoxyphenyl)-1-methyl-1H-pyrazol-5-yl]-1-azabicyclo[2.2.2]oct-2-yl}methyl)methanesulfonamide",NA,NA
N-(1-Deoxy-1-fructosyl)leucine,NA,NA
N-(2-amino-9H-purin-6-yl)alanine,NA,NA
N-(2-Hydroxyethyl)dodecanamide,NA,NA
N-(2-hydroxyethyl)-N-[(2S)-2-hydroxypropyl]octanamide,NA,NA
N-(2-methoxyphenyl)-N~3~-9H-purin-6-yl-beta-alaninamide,NA,NA
"N-(sec-butyl)-2-(7,8-dimethoxy-4-methyl-2-oxo-2H-chromen-3-yl)acetamide",NA,NA
"N-{[(2R,3S,4R,5S)-3,4-Dihydroxy-5-{2-oxo-2-[4-(2-pyridinyl)-1-piperazinyl]ethyl}tetrahydro-2-furanyl]methyl}-2-furamide",NA,NA
"N-{[(2R,4S,5R)-5-Ethyl-1-azabicyclo[2.2.2]oct-2-yl]methyl}-2-thiophenesulfonamide",NA,NA
N1-(1H-indol-4-yl)cyclohexane-1-carboxamide,NA,NA
"N1,N1-dimethyl-4-[3-(methylthio)-4,5-dihydro-1H-1,2,4-triazol-5-yl]aniline",NA,NA
N6-Me-dA,NA,NA
N-Acetyl-D-lactosamine,NA,NA
N-acetyl-L-glutaminyl-L-glutamine,NA,NA
"N-cycloheptyl-3,4-dimethoxybenzamide",NA,NA
Neocretanin,NA,NA
Nimbolide,NA,NA
N-lactoyl-Valine,NA,NA
"Nonanamide, N,N-bis(2-hydroxyethyl)-",NA,NA
Allenolic acid,cpd:C14613,Allenolic acid; 6-Hydroxy-2-naphthalenepropanoic acid
NP-000919,NA,NA
NP-001130,NA,NA
NP-001596,NA,NA
NP-001608,NA,NA
NP-002322,NA,NA
NP-003117,NA,NA
NP-003433,NA,NA
NP-003672,NA,NA
NP-004713,NA,NA
NP-005088,NA,NA
NP-005519,NA,NA
NP-008095,NA,NA
NP-008993,NA,NA
6-Hydroxytremetone,cpd:C08744,Dihydroeuparin; 6-Hydroxytremetone
NP-011223,NA,NA
NP-012042,NA,NA
NP-012972,NA,NA
NP-013210,NA,NA
2-Methoxy-6Z-hexadecenoic acid,cpd:C13946,2-Methoxy-6Z-hexadecenoic acid; 2-Methoxy-6Z-hexadecenoate; (6Z)-2-Methoxyhexadecenoic acid
NP-014287,NA,NA
NP-016564,NA,NA
NP-016839,NA,NA
NP-018534,NA,NA
NP-018661,NA,NA
NP-018946,NA,NA
NP-019374,NA,NA
NP-019445,NA,NA
NP-019509,NA,NA
NP-019547,NA,NA
NP-019855,NA,NA
NP-019992,NA,NA
NP-020205,NA,NA
NP-020206,NA,NA
Tetracenomycin A2,cpd:C12371,Tetracenomycin A2
NP-020214,NA,NA
NP-020236,NA,NA
Enterodiol,cpd:C18166,Enterodiol
NP-020240,NA,NA
NP-020353,NA,NA
NP-020363,NA,NA
Arnebinone,cpd:C10302,Arnebinone
NP-020364,NA,NA
NP-020400,NA,NA
Stigmatellin Y,cpd:C12150,Stigmatellin Y
NP-020535,NA,NA
NP-020713,NA,NA
NP-020902,NA,NA
NP-021018,NA,NA
NP-021074,NA,NA
NP-022068,NA,NA
NP-022231,NA,NA
"N-succinyl-L,L-2,6-diaminopimelate",NA,NA
Nuezhenidic acid,NA,NA
O-(2-O-Mannopyranosyl-mannopyranosyl)serine,NA,NA
O-(3-O-beta-D-galactosyl-N-acetyl-alpha-D-galactosaminyl)-L-serine,NA,NA
O-acetylferulic acid,NA,NA
Obacunone,cpd:C08775,Obacunone
Ochracene D,NA,NA
Sumatrol,cpd:C10532,Sumatrol
O-Phospho-L-tyrosine,NA,NA
8-Hydroxyadenine,cpd:C22499,"8-Hydroxyadenine; 7,8-Dihydro-8-oxoadenine"
2'-Deoxycytidine,cpd:C00881,Deoxycytidine; 2'-Deoxycytidine
O-sebacoylcarnitine,NA,NA
Parasperone A,NA,NA
p-Cresol glucuronide,NA,NA
Penicimarin E,NA,NA
2-Succinylbenzoate,cpd:C02730,2-Succinylbenzoate; o-Succinylbenzoate; Succinylbenzoate
Peniprequinolone,NA,NA
Pentahydroxybenzene,NA,NA
Peruvinine,NA,NA
Pestalotiopyrone H,NA,NA
Peucedanol,NA,NA
Phloroglucinol triacetate,NA,NA
Phomopsolidone A,NA,NA
Pinolenic acid,NA,NA
Piperenol A triacetate,NA,NA
poly(galactosylglycerol phosphate),NA,NA
pongachalcone II,NA,NA
2-Amino-3-oxohexanedioic acid,cpd:C05520,2-Amino-3-oxoadipate; 2-Amino-3-oxohexanedioic acid
Prenylterphenyllin J,NA,NA
Preremirol,NA,NA
Pro-Asp,NA,NA
Prolylglycine,NA,NA
"Propiophenone, 2',4'-dimethoxy-3-(2-methylpiperidino)-",NA,NA
Prostaglandin K2,NA,NA
Pseudoalteromone A,NA,NA
Ritalinic acid,NA,NA
Rotenalone,NA,NA
Rotenonic acid,NA,NA
Saccharonol B,NA,NA
Senkyunolide H,NA,NA
S-methylergothioneine,NA,NA
solatriose,NA,NA
Sorbicillin,NA,NA
Sparassol,NA,NA
Sporovexin C,NA,NA
Sterenin F,NA,NA
Territrem E,NA,NA
Toliprolol,NA,NA
trans-Urocanic Acid,NA,NA
Trehalose 2-sulfate,NA,NA
Triacetylphloroglucinol,NA,NA
Hypaphorine,cpd:C09213,Hypaphorine; Lenticin
Butoctamide semisuccinate,cpd:C12946,Butoctamide hydrogen succinate; Butoctamide semisuccinate
Butylbenzene,cpd:C18150,n-Butylbenzene
Trichocyalide B,NA,NA
Triethylenephosphoramide,NA,NA
4-Hydroxyphenylacetylglutamate,cpd:C05595,4-Hydroxyphenylacetylglutamic acid; p-Hydroxyphenylacetylglutamic acid; 4-Hydroxyphenylacetylglutamate; p-Hydroxyphenylacetylglutamate
4'-Methoxy-3-morpholino-propiophenone,cpd:C15032,1-(4-Methoxyphenyl)-3-(4-morpholinyl)-1-propanone; 4'-Methoxy-3-morpholino-propiophenone
"Trimethyl 5-methoxybenzene-1,2,4-tricarboxylate",NA,NA
Tsibulin 2,NA,NA
Ustusorane A,NA,NA
villosinol,NA,NA
Viloxazine,NA,NA
Waraterpol,NA,NA
